Specimen ID,Insitution or collector,Date DNA Extracted,Species,Museum Label,Caste,Species Determination By,Collection Month,Collection Day,Collection Year,Latitude,Longitude,Country,Place Name,No. of ITS PCR,Proportion positive for Nosema
NIP00049,Pierre Rasmont,2/8/2011,terrestris (terrestris),"B. Bomal FR78 ""Mt des Pins""/10-vi-1989/rec R. Wahis",W,Pierre Rasmont 2009,6,10,1989,50.367497,5.518292,Belgium,"Mont des Pins, Bomal",9,1.00
NIP00050,Pierre Rasmont,2/8/2011,terrestris (terrestris),Tardieu MA Gemloux/30-v-1991,W,Pierre Rasmont 2009,5,30,1991,50.561293,4.701531,Belgium,Gembloux,3,0.00
NIP00051,Pierre Rasmont,2/8/2011,terrestris (terrestris),Neufmaison (Ht)/20-iv-1988/Leleux Marc,W,Pierre Rasmont 2009,4,20,1988,50.52969,3.79384,Belgium,Neufmason,3,0.00
NIP00052,Pierre Rasmont,2/8/2011,terrestris (terrestris),B. Marlanwelz/29-vi-1990/Leonard Olivier,W,Pierre Rasmont 2009,6,29,1990,50.44888,4.24026,Belgium,Marlanwelz,3,0.00
NIP00053,Pierre Rasmont,2/10/2011,terrestris (terrestris),Gembloux/1-v-1990/St-Dic L.,W,Pierre Rasmont 2009,5,1,1990,50.561293,4.701531,Belgium,Gembloux,3,0.00
NIP00054,Pierre Rasmont,2/10/2011,terrestris (terrestris),"Gembloux, B./06-vi-1988/ leg. M. Saonadi",W,Pierre Rasmont 2009,6,6,1988,50.561293,4.701531,Belgium,Gembloux,3,0.00
NIP00055,Pierre Rasmont,2/10/2011,terrestris (terrestris),Bruxelles/ 29-v-1989/ Bauraind C.,W,Pierre Rasmont 2009,5,29,1989,50.85034,4.35171,Belgium,Bruxelles,3,0.00
NIP00056,Pierre Rasmont,2/10/2011,terrestris (terrestris),Moha/Wanzee prov. Liège/02-viii-1989,W,Pierre Rasmont 2009,8,2,1989,50.539721,5.192987,Belgium,"Between Moha and Wanzee, Liege Province",9,1.00
NIP00057,Pierre Rasmont,2/22/2011,terrestris (terrestris),B. La Chartreuse/ Liege.Le/07-v-1989/MINNE Pierre,W,Pierre Rasmont 2009,5,7,1989,50.62827,5.59772,Belgium,"Chartreuse, Liege Province",3,0.00
NIP00058,Pierre Rasmont,2/22/2011,terrestris (terrestris),B. Piéton/ 17-vi-1990/ Dontaine J-F,W,Pierre Rasmont 2009,6,17,1990,50.43749,4.29622,Belgium,Piéton,3,0.00
NIP00059,Pierre Rasmont,2/22/2011,terrestris (terrestris),"Loc: Jauche Prov. Brabant PAYS: BEL./ Det Liesse, D./27-vii-1991",W,Pierre Rasmont 2009,7,27,1991,50.68298,4.9547,Belgium,"Brabant Walloon, Jauche",9,0.89
NIP00060,Pierre Rasmont,2/22/2011,terrestris (terrestris),Le 31-5-1989 Gembloux M. Selvait,W,Pierre Rasmont 2009,5,31,1989,50.561293,4.701531,Belgium,Gembloux,3,0.00
NIP00061,Pierre Rasmont,2/22/2011,terrestris (terrestris),B.; Dampremy/10.vii.1990/Leg.; Boudali R.,W,Pierre Rasmont 2009,7,10,1990,50.41704,4.43079,Belgium,Dampremy,12,0.17
NIP00062,Pierre Rasmont,2/23/2011,terrestris (terrestris),B. Gembloux/ 22.v.1991/ Rakotoniring?,W,Pierre Rasmont 2009,5,22,1991,50.561293,4.701531,Belgium,Gembloux,6,0.00
NIP00063,Pierre Rasmont,2/23/2011,terrestris (terrestris),"Wanzoul, chemin de campagne/ 28.7.1989/Peeters J.P.",W,Pierre Rasmont 2009,7,28,1989,50.748584,4.977663,Belgium,Chemin de campagne,12,0.92
NIP00064,Pierre Rasmont,2/23/2011,terrestris (terrestris),jardin 37 av. Mozart 1190 Bruxelles / Eric Falise/ 31-05-89,W,Pierre Rasmont 2009,5,31,1989,50.85034,4.35171,Belgium,Bruxelles,12,0.08
NIP00065,Pierre Rasmont,2/23/2011,terrestris (terrestris),Willem F/25.05.90/Gembloux,W,Pierre Rasmont 2009,5,25,1990,50.561293,4.701531,Belgium,Gembloux,3,0.00
NIP00066,Pierre Rasmont,2/23/2011,terrestris (terrestris),Bruxelles/ Evere/ 4.v.1990/leg. I Baguet (??),W,Pierre Rasmont 2009,5,4,1990,50.85034,4.35171,Belgium,Bruxelles,3,0.00
NIP00067,Pierre Rasmont,3/7/2011,terrestris (terrestris),B. Gerpinnes/27.04.1991/F. Hollevoet,W,Pierre Rasmont 2009,4,27,1991,50.33735,4.52428,Belgium,Gerpinnes,3,0.00
NIP00068,Pierre Rasmont,3/7/2011,terrestris (terrestris),Meise/9.vii.90/ I Dodet,W,Pierre Rasmont 2009,7,9,1990,50.93896,4.32664,Belgium,Meise,3,0.00
NIP00069,Pierre Rasmont,3/7/2011,terrestris (terrestris),B. Gemblous/ 24.iv.1991/V. Derbaudrenghein,W,Pierre Rasmont 2009,4,24,1991,50.561293,4.701531,Belgium,Gembloux,3,0.00
